Module Name,Attribute Name,Tag,Type,Optionality/Cardinality,IHE Usage,Attribute Description,DICOM Section URL,MADO Page URL,DICOM Difference Note
General Equipment Module,Institution Name,"(0008,0080)",1,,R+,Defines the institution that created the KOS manifest. This information is important to trace back any content error in a KOS,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_General+Equipment+Module.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=47,
General Equipment Module,Manufacturer,"(0008,0070)",1,,R+,Manufacturer of the equipment that produced the KOS manifest. This attribute is required to facilitate the discovery of errors’ sources in the creation of KOS Manifests.,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_General+Equipment+Module.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=47,
General Study Module,Accession Number,"(0008,0050)",3,,O+,Identifier of the imaging (scheduled) procedure request. Present,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_General+Study+Module.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=46,
General Study Module,Issuer of Accession Number Sequence,"(0008,0051)",1C,,RC+,Identifier of the Assigning Authority that issued the Accession,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_General+Study+Module.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=46,
General Study Module,Study Date,"(0008,0020)",1,,R+,Date the Study started.,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_General+Study+Module.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=46,
General Study Module,Study Time,"(0008,0030)",1,,R+,Time the Study started.,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_General+Study+Module.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=46,
HL7v2 Hierarchic Designator Macro Attributes,Universal Entity ID,"(0040,0032)",1,,R+,Globally unique identifier for the Assigning Authority.,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_HL7v2+Hierarchic+Designator+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=55,
HL7v2 Hierarchic Designator Macro Attributes,Universal Entity ID Type,"(0040,0033)",1C,,RC+,Standard defining the format of the Universal Entity,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_HL7v2+Hierarchic+Designator+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=55,
Hierarchical SOP Instance Reference Macro Attributes,Display URI,"(0040,E012)",3,,O+,URI specifying an access path to invoke a remote,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Hierarchical+SOP+Instance+Reference+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=56,
Hierarchical SOP Instance Reference Macro Attributes,Referenced Series Sequence,"(0008,1115)",1,,R,Sequence of Items where each item includes the,https://dicom.nema.org/medical/dicom/current/output/chtml/part03/sect_Hierarchical+SOP+Instance+Reference+Macro+Attributes.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=56,
