Template Name,Template ID,No,NL,REL with Parent,VT,Concept Name,Concept URL,VM,Req Type (DICOM),Req Type (IHE),Condition,ValueSet Constraint,DICOM Section URL,MADO Page URL,DICOM Difference Note
TID 1600 Template for SR Document Content Module of Manifest,1600,1,,HAS ACQ CONTEXT,CODE,"EV (121139, DCM, ""Modality"")",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/search.html?q=EV+%28121139%2C+DCM%2C+%22Modality%22%29,1-n,R+,R+,DCID 29 “Acquisition Modality” Non-acquisition Modality from DCID 32 “Non-Acquisition Modality” may be included.,DCID 29 “Acquisition Modality” Non-acquisition Modality from DCID 32 “Non-Acquisition Modality” may be included.,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_1600.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=50,
TID 1600 Template for SR Document Content Module of Manifest,1600,2,,HAS ACQ CONTEXT,CODE,"EV (123014, DCM, ""Target Region"")",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/search.html?q=EV+%28123014%2C+DCM%2C+%22Target+Region%22%29,1-n,R+,R+,Code value for target region selected. See,Code value for target region selected. See 6.X.6.4.1 High-Level Anatomic Regions and Systems Value Set (See Note below).,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_1600.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=50,
TID 1600 Template for SR Document Content Module of Manifest,1600,3,,HAS ACQ CONTEXT,NUM,"EV (131565, DCM, “Number of Study Related Series”)",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/search.html?q=EV+%28131565%2C+DCM%2C+%E2%80%9CNumber+of+Study+Related+Series%E2%80%9D%29,1,R+,R+,"UNITS = EV ({series}, UCUM, ""series"") This value shall reflect the number of series in the study as referenced by the Current Requested Procedure Evidence Sequence (0040,A375).","UNITS = EV ({series}, UCUM, ""series"") This value shall reflect the number of series in the study as referenced by the Current Requested Procedure Evidence Sequence (0040,A375).",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_1600.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=51,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code
TID 1602 Template for SR Document Content Module of Manifest,1602,1,,HAS ACQ CONTEXT,CODE,"EV (121139, DCM, ""Modality"")",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/search.html?q=EV+%28121139%2C+DCM%2C+%22Modality%22%29,1,R+,R+,DCID 33 “Modality”,DCID 33 “Modality”,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_1602.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=51,
TID 1602 Template for SR Document Content Module of Manifest,1602,10,,HAS ACQ CONTEXT,NUM,"EV (121140, DCM, “Number of Frames”)",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/search.html?q=EV+%28121140%2C+DCM%2C+%E2%80%9CNumber+of+Frames%E2%80%9D%29,1,RC+,RC+,Required when the SOP Class is multiframe,,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_1602.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=53,
TID 1602 Template for SR Document Content Module of Manifest,1602,11,,HAS ACQ CONTEXT,TEXT,"EV (113609, DCM, “Instance Number”)",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/search.html?q=EV+%28113609%2C+DCM%2C+%E2%80%9CInstance+Number%E2%80%9D%29,1,RC+,RC+,Required when present in the referenced SOP Instance,"The text string shall be consistent with the value of Instance Number (0020,0013) of the referenced instance (See Note).",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_1602.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=53,
TID 1602 Template for SR Document Content Module of Manifest,1602,2,,HAS ACQ CONTEXT,DATE,"EV (131561, DCM , ""Series Date"")",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/search.html?q=EV+%28131561%2C+DCM+%2C+%22Series+Date%22%29,1,RC+,RC+,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_1602.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=51,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code
TID 1602 Template for SR Document Content Module of Manifest,1602,3,,HAS ACQ CONTEXT,TIME,"EV (131562, DCM , ""Series Time"")",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/search.html?q=EV+%28131562%2C+DCM+%2C+%22Series+Time%22%29,1,RC+,RC+,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_1602.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=51,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code
TID 1602 Template for SR Document Content Module of Manifest.,1602,4,,HAS ACQ CONTEXT,TEXT,"EV (131563, DCM , “Series Description”)",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/search.html?q=EV+%28131563%2C+DCM+%2C+%E2%80%9CSeries+Description%E2%80%9D%29,1,RC+,RC+,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_1602.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=52,PDF uses provisional DCM code (CP-2595); MADO spec may use 99IHE MADOTEMP interim code
TID 1602 Template for SR Document Content Module of Manifest.,1602,5,,HAS ACQ CONTEXT,TEXT,"EV (113607, DCM, “Series Number”)",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/search.html?q=EV+%28113607%2C+DCM%2C+%E2%80%9CSeries+Number%E2%80%9D%29,1,RC+,RC+,Shall be populated if the corresponding attribute is populated in the relevant instance(s).,"The text string shall be consistent with the value of Series Number (0020,0011) of the referenced series.",https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_1602.html,https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_RAD_Suppl_MADO.pdf#page=52,
