Module,DICOM Reference,Attribute Name,Tag,DICOM Type,MADO IHE Usage,in_dicom,in_mado,difference_type,DICOM Description,MADO Description,MADO instruction,EU-MADO Profile,EU-MADO Field,Consumer Obligation,Producer Obligation,DICOM-KOS Match,Review comment
Patient,C.7.1.1,Patient's Name,"(0010,0010)",2,,Y,,dicom_only,Patient's full name.,,,EuMadoPatient,name,,SHALL:able-to-populate,"Patient Name (0010,0010)",
Patient,C.7.1.1,Patient ID,"(0010,0020)",2,R+,Y,Y,both,"Primary identifier for the Patient. Note In the case of imaging a group of small animals simultaneously, the single Value of this identifier corresponds to the identification of the entire group. See also Section C.7.1.4.1.1.",Primary identifier for the patient. See Section 6.X.2.5.2.1.1.,,EuMadoPatient,identifier,,SHALL:able-to-populate,"Patient ID (0010,0020) & Type of Patient ID (0010,0022) & Issuer of Patient ID Qualifiers Sequence (0010,0026)",
Patient,C.7.1.1,Type of Patient ID,"(0010,0022)",3,,Y,,dicom_only,"The type of identifier in the Patient ID (0010,0020). Defined Terms: TEXT RFID BARCODE Note The identifier is coded as a string regardless of the type, not as a binary value. When this Attribute has a Value of BARCODE, Patient ID (0010,0020) may or may not have the same Value as Barcode Value (2200,0005) in the SOP Common Module, if present.",,,EuMadoPatient,identifier,,SHALL:able-to-populate,"Patient ID (0010,0020) & Type of Patient ID (0010,0022) & Issuer of Patient ID Qualifiers Sequence (0010,0026)",
Patient,C.7.1.1,Patient's Birth Date,"(0010,0030)",2,,Y,,dicom_only,Birth date of the Patient.,,,EuMadoPatient,birthDate,,SHOULD:able-to-populate,"Patient Birth Date (0010,0030)",
Patient,C.7.1.1,Patient's Birth Date in Alternative Calendar,"(0010,0033)",3,,Y,,dicom_only,"Date of birth of the named Patient in the Alternative Calendar (0010,0035). Note No format is specified for alternative calendar dates so none should be assumed.",,,,,,,,
Patient,C.7.1.1,Patient's Death Date in Alternative Calendar,"(0010,0034)",3,,Y,,dicom_only,"Date of death of the named Patient in the Alternative Calendar (0010,0035). Note No format is specified for alternative calendar dates so none should be assumed.",,,,,,,,
Patient,C.7.1.1,Patient's Alternative Calendar,"(0010,0035)",1C,,Y,,dicom_only,"The Alternative Calendar used for Patient's Birth Date in Alternative Calendar (0010,0033) and Patient's Death Date in Alternative Calendar (0010,0034). See Section C.7.1.5 for Defined Terms. Required if either Patient's Birth Date in Alternative Calendar (0010,0033) or Patient's Alternative Death Date in Calendar (0010,0034) is present.",,,,,,,,
Patient,C.7.1.1,Patient's Sex,"(0010,0040)",2,,Y,,dicom_only,Sex of the named Patient. Enumerated Values: M male F female O other See Note 2 and Note 3.,,,EuMadoPatient,gender,,SHOULD:able-to-populate,"Patient Sex (0010,0040)",
Patient,C.7.1.1,Referenced Patient Photo Sequence,"(0010,1100)",3,,Y,,dicom_only,A photo to confirm the identity of a Patient. Only a single Item is permitted in this Sequence. See C.2.2.1.1.,,,,,,,,
Patient,C.7.1.1,Quality Control Subject,"(0010,0200)",3,,Y,,dicom_only,"Indicates whether or not the subject is a quality control phantom. Enumerated Values: YES NO If this Attribute is absent, then the subject may or may not be a phantom. This Attribute describes a characteristic of the Imaging Subject. It is distinct from Quality Control Image (0028,0300) in the General Image Module, which is used to describe an image acquired.",,,,,,,,
