Profile,Field,MS,IHE-MADO,Consumer,Producer,Documentation
EuMadoBundle,id,,MadoFhirBundle.id,,,
EuMadoBundle,meta,,MadoFhirBundle.meta,,,
EuMadoBundle,implicitRules,,MadoFhirBundle.implicitRules,,,
EuMadoBundle,language,,MadoFhirBundle.language,,,
EuMadoBundle,identifier,MS,MadoFhirBundle.identifier,,SHALL:populate,Required by MADO
EuMadoBundle,type,,MadoFhirBundle.type,,,
EuMadoBundle,timestamp,MS,MadoFhirBundle.timestamp,,SHALL:populate,Required by MADO
EuMadoBundle,total,,MadoFhirBundle.total,,,
EuMadoBundle,link,,MadoFhirBundle.link,,,
EuMadoBundle,extension,,MadoFhirBundle.extension,,,
EuMadoBundle,modifierExtension,,MadoFhirBundle.modifierExtension,,,
EuMadoBundle,relation,,MadoFhirBundle.relation,,,
EuMadoBundle,url,,MadoFhirBundle.url,,,
EuMadoBundle,entry,,MadoFhirBundle.entry,,,
EuMadoBundle,fullUrl,,MadoFhirBundle.fullUrl,,,
EuMadoBundle,resource,,MadoFhirBundle.resource,,,
EuMadoBundle,search,,MadoFhirBundle.search,,,
EuMadoBundle,mode,,MadoFhirBundle.mode,,,
EuMadoBundle,score,,MadoFhirBundle.score,,,
EuMadoBundle,request,,MadoFhirBundle.request,,,
EuMadoBundle,method,,MadoFhirBundle.method,,,
EuMadoBundle,ifNoneMatch,,MadoFhirBundle.ifNoneMatch,,,
EuMadoBundle,ifModifiedSince,,MadoFhirBundle.ifModifiedSince,,,
EuMadoBundle,ifMatch,,MadoFhirBundle.ifMatch,,,
EuMadoBundle,ifNoneExist,,MadoFhirBundle.ifNoneExist,,,
EuMadoBundle,response,,MadoFhirBundle.response,,,
EuMadoBundle,status,,MadoFhirBundle.status,,,
EuMadoBundle,location,,MadoFhirBundle.location,,,
EuMadoBundle,etag,,MadoFhirBundle.etag,,,
EuMadoBundle,lastModified,,MadoFhirBundle.lastModified,,,
EuMadoBundle,outcome,,MadoFhirBundle.outcome,,,
EuMadoBundle,entry[composition],MS,MadoFhirBundle.entry[composition],,SHALL:populate,Required by MADO
EuMadoBundle,entry[imaging-study],MS,MadoFhirBundle.entry[imaging-study],,SHALL:populate,Required by MADO
EuMadoBundle,entry[patient],MS,MadoFhirBundle.entry[patient],,SHALL:populate,Required by MADO
EuMadoBundle,entry[wado-endpoint],MS,MadoFhirBundle.entry[wado-endpoint],,SHALL:populate-if-known,Required by MADO
EuMadoBundle,entry[web-endpoint],MS,MadoFhirBundle.entry[web-endpoint],,SHALL:populate-if-known,Required by MADO
EuMadoBundle,entry[creator],MS,MadoFhirBundle.entry[creator],,SHALL:populate,Required by MADO
EuMadoBundle,entry[creator-organization],MS,MadoFhirBundle.entry[creator-organization],,SHALL:populate,Required by MADO
EuMadoBundle,entry[requested-procedure],MS,MadoFhirBundle.entry[requested-procedure],,SHALL:able-to-populate,Required by MADO.
EuMadoBundle,signature,,MadoFhirBundle.signature,,,
EuMadoComposition,id,,MadoComposition.id,,,
EuMadoComposition,meta,,MadoComposition.meta,,,
EuMadoComposition,implicitRules,,MadoComposition.implicitRules,,,
EuMadoComposition,language,MS,MadoComposition.language,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.language
EuMadoComposition,text,MS,MadoComposition.text,,SHALL:populate,From MADO
EuMadoComposition,extension,,MadoComposition.extension,,,
EuMadoComposition,status,,MadoComposition.status,,,
EuMadoComposition,div,,MadoComposition.div,,,
EuMadoComposition,contained,,MadoComposition.contained,,,
EuMadoComposition,modifierExtension,,MadoComposition.modifierExtension,,,
EuMadoComposition,identifier,MS,MadoComposition.identifier,,SHALL:populate,From MADO
EuMadoComposition,status,MS,MadoComposition.status,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.status
EuMadoComposition,type,MS,MadoComposition.type,,SHALL:able-to-populate,From MADO
EuMadoComposition,category,MS,MadoComposition.category,,SHOULD:able-to-populate,From MADO
EuMadoComposition,subject,MS,MadoComposition.subject,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.subject
EuMadoComposition,encounter,,MadoComposition.encounter,,,
EuMadoComposition,date,MS,MadoComposition.date,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.date
EuMadoComposition,author,,MadoComposition.author,,,
EuMadoComposition,author[source-organization],MS,MadoComposition.author[source-organization],SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.author[EHDSOrganization]
EuMadoComposition,author[source-device],MS,MadoComposition.author[source-device],SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.author[EHDSDevice]
EuMadoComposition,title,MS,MadoComposition.title,,SHALL:populate,From MADO
EuMadoComposition,confidentiality,,MadoComposition.confidentiality,,,
EuMadoComposition,attester,,MadoComposition.attester,,,
EuMadoComposition,mode,,MadoComposition.mode,,,
EuMadoComposition,time,,MadoComposition.time,,,
EuMadoComposition,party,,MadoComposition.party,,,
EuMadoComposition,custodian,MS,MadoComposition.custodian,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.custodian
EuMadoComposition,relatesTo,,MadoComposition.relatesTo,,,
EuMadoComposition,code,,MadoComposition.code,,,
EuMadoComposition,target[x],,MadoComposition.target[x],,,
EuMadoComposition,event,,MadoComposition.event,,,
EuMadoComposition,period,,MadoComposition.period,,,
EuMadoComposition,detail,,MadoComposition.detail,,,
EuMadoComposition,event[imaging-study],MS,MadoComposition.event[imaging-study],,SHALL:populate,From MADO
EuMadoComposition,section,MS,MadoComposition.section,,MAY:able-to-populate,From MADO
EuMadoComposition,title,,MadoComposition.title,,,
EuMadoComposition,focus,,MadoComposition.focus,,,
EuMadoComposition,orderedBy,,MadoComposition.orderedBy,,,
EuMadoComposition,entry,,MadoComposition.entry,,,
EuMadoComposition,emptyReason,,MadoComposition.emptyReason,,,
EuMadoComposition,section,,MadoComposition.section,,,
EuMadoDicomKosDocumentReference,id,,MadoDicomKosDocumentReference.id,,,
EuMadoDicomKosDocumentReference,meta,,MadoDicomKosDocumentReference.meta,,,
EuMadoDicomKosDocumentReference,extension,,MadoDicomKosDocumentReference.extension,,,
EuMadoDicomKosDocumentReference,versionId,,MadoDicomKosDocumentReference.versionId,,,
EuMadoDicomKosDocumentReference,lastUpdated,,MadoDicomKosDocumentReference.lastUpdated,,,
EuMadoDicomKosDocumentReference,source,,MadoDicomKosDocumentReference.source,,,
EuMadoDicomKosDocumentReference,profile,,MadoDicomKosDocumentReference.profile,,,
EuMadoDicomKosDocumentReference,security,,MadoDicomKosDocumentReference.security,,,
EuMadoDicomKosDocumentReference,tag,,MadoDicomKosDocumentReference.tag,,,
EuMadoDicomKosDocumentReference,implicitRules,,MadoDicomKosDocumentReference.implicitRules,,,
EuMadoDicomKosDocumentReference,language,,MadoDicomKosDocumentReference.language,,,
EuMadoDicomKosDocumentReference,text,,MadoDicomKosDocumentReference.text,,,
EuMadoDicomKosDocumentReference,contained,,MadoDicomKosDocumentReference.contained,,,
EuMadoDicomKosDocumentReference,extension[bodysite],MS,MadoDicomKosDocumentReference.extension[bodysite],,,
EuMadoDicomKosDocumentReference,extension[concept],,MadoDicomKosDocumentReference.extension[concept],,,
EuMadoDicomKosDocumentReference,url,,MadoDicomKosDocumentReference.url,,,
EuMadoDicomKosDocumentReference,value[x],,MadoDicomKosDocumentReference.value[x],,,
EuMadoDicomKosDocumentReference,extension[reference],,MadoDicomKosDocumentReference.extension[reference],,,
EuMadoDicomKosDocumentReference,extension[_datatype],,MadoDicomKosDocumentReference.extension[_datatype],,,
EuMadoDicomKosDocumentReference,extension[modality],MS,MadoDicomKosDocumentReference.extension[modality],,,
EuMadoDicomKosDocumentReference,modifierExtension,,MadoDicomKosDocumentReference.modifierExtension,,,
EuMadoDicomKosDocumentReference,masterIdentifier,,MadoDicomKosDocumentReference.masterIdentifier,,,
