Profile,Field,Cross-reference,MS,Consumer,Producer
EHDSAddress,use,EHDSAddress.use,,,
EHDSAddress,type,EHDSAddress.type,,,
EHDSAddress,text,EHDSAddress.text,,,
EHDSAddress,street,EHDSAddress.street,,,
EHDSAddress,houseNumber,EHDSAddress.houseNumber,,,
EHDSAddress,postBox,EHDSAddress.postBox,,,
EHDSAddress,city,EHDSAddress.city,,,
EHDSAddress,postalCode,EHDSAddress.postalCode,,,
EHDSAddress,country,EHDSAddress.country,,,
EHDSAdministeredDosage,renderedDosageInstruction,EHDSAdministeredDosage.renderedDosageInstruction,,,
EHDSAdministeredDosage,dosageDetails,EHDSAdministeredDosage.dosageDetails,,,
EHDSAdministeredDosage,dosageDetails.sequence,EHDSAdministeredDosage.dosageDetails.sequence,,,
EHDSAdministeredDosage,dosageDetails.note,EHDSAdministeredDosage.dosageDetails.note,,,
EHDSAdministeredDosage,dosageDetails.doseAndRate,EHDSAdministeredDosage.dosageDetails.doseAndRate,,,
EHDSAdministeredDosage,dosageDetails.doseAndRate.dose[x],EHDSAdministeredDosage.dosageDetails.doseAndRate.dose[x],,,
EHDSAdministeredDosage,dosageDetails.doseAndRate.rate[x],EHDSAdministeredDosage.dosageDetails.doseAndRate.rate[x],,,
EHDSAdministeredDosage,dosageDetails.repeat,EHDSAdministeredDosage.dosageDetails.repeat,,,
EHDSAdministeredDosage,dosageDetails.repeat.bounds[x],EHDSAdministeredDosage.dosageDetails.repeat.bounds[x],,,
EHDSAdministeredDosage,dosageDetails.repeat.duration,EHDSAdministeredDosage.dosageDetails.repeat.duration,,,
EHDSAdministeredDosage,dosageDetails.repeat.frequency,EHDSAdministeredDosage.dosageDetails.repeat.frequency,,,
EHDSAdministeredDosage,dosageDetails.repeat.frequency.numberOfTimes,EHDSAdministeredDosage.dosageDetails.repeat.frequency.numberOfTimes,,,
EHDSAdministeredDosage,dosageDetails.repeat.frequency.period,EHDSAdministeredDosage.dosageDetails.repeat.frequency.period,,,
EHDSAdministeredDosage,dosageDetails.repeat.dayOfWeek,EHDSAdministeredDosage.dosageDetails.repeat.dayOfWeek,,,
EHDSAdministeredDosage,dosageDetails.repeat.timeOfDay,EHDSAdministeredDosage.dosageDetails.repeat.timeOfDay,,,
EHDSAdministeredDosage,dosageDetails.repeat.eventTime,EHDSAdministeredDosage.dosageDetails.repeat.eventTime,,,
EHDSAdministeredDosage,dosageDetails.asNeeded,EHDSAdministeredDosage.dosageDetails.asNeeded,,,
EHDSAdministeredDosage,dosageDetails.bodySite,EHDSAdministeredDosage.dosageDetails.bodySite,,,
EHDSAdministeredDosage,dosageDetails.routeOfAdministration,EHDSAdministeredDosage.dosageDetails.routeOfAdministration,,,
EHDSAdvanceDirective,header,EHDSAdvanceDirective.header,,,
EHDSAdvanceDirective,header.subject,EHDSAdvanceDirective.header.subject,,,SHALL:able-to-populate
EHDSAdvanceDirective,header.identifier,EHDSAdvanceDirective.header.identifier,,,
EHDSAdvanceDirective,header.author[x],EHDSAdvanceDirective.header.author[x],,,SHALL:able-to-populate
EHDSAdvanceDirective,header.date,EHDSAdvanceDirective.header.date,,,SHALL:able-to-populate
EHDSAdvanceDirective,header.status,EHDSAdvanceDirective.header.status,,,SHALL:able-to-populate
EHDSAdvanceDirective,header.source,EHDSAdvanceDirective.header.source,,,SHOULD:able-to-populate
EHDSAdvanceDirective,header.language,EHDSAdvanceDirective.header.language,,,
EHDSAdvanceDirective,category,EHDSAdvanceDirective.category,,,SHALL:able-to-populate
EHDSAdvanceDirective,note,EHDSAdvanceDirective.note,,,SHOULD:able-to-populate
EHDSAdvanceDirective,attachment,EHDSAdvanceDirective.attachment,,,SHOULD:able-to-populate
EHDSAlert,header,EHDSAlert.header,,,
EHDSAlert,header.subject,EHDSAlert.header.subject,,,SHALL:able-to-populate
EHDSAlert,header.identifier,EHDSAlert.header.identifier,,,
EHDSAlert,header.author[x],EHDSAlert.header.author[x],,,
EHDSAlert,header.date,EHDSAlert.header.date,,,
EHDSAlert,header.status,EHDSAlert.header.status,,,SHALL:able-to-populate
EHDSAlert,header.source,EHDSAlert.header.source,,,
EHDSAlert,header.language,EHDSAlert.header.language,,,
EHDSAlert,code,EHDSAlert.code,,,SHALL:able-to-populate
EHDSAlert,description,EHDSAlert.description,,,SHALL:able-to-populate
EHDSAlert,priority,EHDSAlert.priority,,,SHOULD:able-to-populate
EHDSAlert,period,EHDSAlert.period,,,SHALL:able-to-populate
EHDSAlert,sourceReference,EHDSAlert.sourceReference,,,
EHDSAllergyIntolerance,header,EHDSAllergyIntolerance.header,,,
EHDSAllergyIntolerance,header.subject,EHDSAllergyIntolerance.header.subject,,,SHALL:able-to-populate
EHDSAllergyIntolerance,header.identifier,EHDSAllergyIntolerance.header.identifier,,,SHOULD:able-to-populate
EHDSAllergyIntolerance,header.author[x],EHDSAllergyIntolerance.header.author[x],,,
EHDSAllergyIntolerance,header.date,EHDSAllergyIntolerance.header.date,,,SHOULD:able-to-populate
EHDSAllergyIntolerance,header.status,EHDSAllergyIntolerance.header.status,,,SHALL:able-to-populate
EHDSAllergyIntolerance,header.source,EHDSAllergyIntolerance.header.source,,,
EHDSAllergyIntolerance,header.language,EHDSAllergyIntolerance.header.language,,,
EHDSAllergyIntolerance,agentOrAllergen,EHDSAllergyIntolerance.agentOrAllergen,,,SHALL:able-to-populate
EHDSAllergyIntolerance,note,EHDSAllergyIntolerance.note,,,SHOULD:able-to-populate
EHDSAllergyIntolerance,criticality,EHDSAllergyIntolerance.criticality,,,SHOULD:able-to-populate
EHDSAllergyIntolerance,certainty,EHDSAllergyIntolerance.certainty,,,
EHDSAllergyIntolerance,onsetDate,EHDSAllergyIntolerance.onsetDate,,,
EHDSAllergyIntolerance,endDate,EHDSAllergyIntolerance.endDate,,,
EHDSAllergyIntolerance,reaction,EHDSAllergyIntolerance.reaction,,,
EHDSAllergyIntolerance,reaction.agentOrAllergen,EHDSAllergyIntolerance.reaction.agentOrAllergen,,,
EHDSAllergyIntolerance,reaction.manifestation,EHDSAllergyIntolerance.reaction.manifestation,,,SHALL:able-to-populate
EHDSAllergyIntolerance,reaction.severity,EHDSAllergyIntolerance.reaction.severity,,,
EHDSAllergyIntolerance,reaction.onset,EHDSAllergyIntolerance.reaction.onset,,,SHALL:able-to-populate
EHDSAttachment,contentType,EHDSAttachment.contentType,,,
EHDSAttachment,language,EHDSAttachment.language,,,
EHDSAttachment,data,EHDSAttachment.data,,,
EHDSAttachment,url,EHDSAttachment.url,,,
EHDSAttachment,size,EHDSAttachment.size,,,
EHDSAttachment,title,EHDSAttachment.title,,,
EHDSBodyStructure,morphology,EHDSBodyStructure.morphology,,,
EHDSBodyStructure,location,EHDSBodyStructure.location,,,
EHDSBodyStructure,locationQualifier,EHDSBodyStructure.locationQualifier,,,
EHDSBodyStructure,laterality,EHDSBodyStructure.laterality,,,
EHDSBodyStructure,description,EHDSBodyStructure.description,,,
EHDSCarePlan,header,EHDSCarePlan.header,,,
EHDSCarePlan,header.subject,EHDSCarePlan.header.subject,,,
EHDSCarePlan,header.identifier,EHDSCarePlan.header.identifier,,,
EHDSCarePlan,header.author[x],EHDSCarePlan.header.author[x],,,
EHDSCarePlan,header.date,EHDSCarePlan.header.date,,,
EHDSCarePlan,header.status,EHDSCarePlan.header.status,,,
EHDSCarePlan,header.source,EHDSCarePlan.header.source,,,
EHDSCarePlan,header.language,EHDSCarePlan.header.language,,,
EHDSCarePlan,title,EHDSCarePlan.title,,,
EHDSCarePlan,description,EHDSCarePlan.description,,,
EHDSCarePlan,period,EHDSCarePlan.period,,,
EHDSCarePlan,addresses[x],EHDSCarePlan.addresses[x],,,
EHDSCarePlan,activity[x],EHDSCarePlan.activity[x],,,
EHDSCarePlan,goal,EHDSCarePlan.goal,,,
EHDSCondition,header,EHDSCondition.header,,,SHALL:able-to-populate
