IHE-MADO,EU-MADO,MS,Consumer,Producer,Documentation
MadoFhirBundle.id,EuMadoBundle.id,,,,
MadoFhirBundle.meta,EuMadoBundle.meta,,,,
MadoFhirBundle.implicitRules,EuMadoBundle.implicitRules,,,,
MadoFhirBundle.language,EuMadoBundle.language,,,,
MadoFhirBundle.identifier,EuMadoBundle.identifier,MS,,SHALL:populate,Required by MADO
MadoFhirBundle.type,EuMadoBundle.type,,,,
MadoFhirBundle.timestamp,EuMadoBundle.timestamp,MS,,SHALL:populate,Required by MADO
MadoFhirBundle.total,EuMadoBundle.total,,,,
MadoFhirBundle.link,EuMadoBundle.link,,,,
MadoFhirBundle.link.id,EuMadoBundle.link.id,,,,
MadoFhirBundle.link.extension,EuMadoBundle.link.extension,,,,
MadoFhirBundle.link.modifierExtension,EuMadoBundle.link.modifierExtension,,,,
MadoFhirBundle.link.relation,EuMadoBundle.link.relation,,,,
MadoFhirBundle.link.url,EuMadoBundle.link.url,,,,
MadoFhirBundle.entry,EuMadoBundle.entry,,,,
MadoFhirBundle.entry.id,EuMadoBundle.entry.id,,,,
MadoFhirBundle.entry.extension,EuMadoBundle.entry.extension,,,,
MadoFhirBundle.entry.modifierExtension,EuMadoBundle.entry.modifierExtension,,,,
MadoFhirBundle.entry.link,EuMadoBundle.entry.link,,,,
MadoFhirBundle.entry.fullUrl,EuMadoBundle.entry.fullUrl,,,,
MadoFhirBundle.entry.resource,EuMadoBundle.entry.resource,,,,
MadoFhirBundle.entry.search,EuMadoBundle.entry.search,,,,
MadoFhirBundle.entry.search.id,EuMadoBundle.entry.search.id,,,,
MadoFhirBundle.entry.search.extension,EuMadoBundle.entry.search.extension,,,,
MadoFhirBundle.entry.search.modifierExtension,EuMadoBundle.entry.search.modifierExtension,,,,
MadoFhirBundle.entry.search.mode,EuMadoBundle.entry.search.mode,,,,
MadoFhirBundle.entry.search.score,EuMadoBundle.entry.search.score,,,,
MadoFhirBundle.entry.request,EuMadoBundle.entry.request,,,,
MadoFhirBundle.entry.request.id,EuMadoBundle.entry.request.id,,,,
MadoFhirBundle.entry.request.extension,EuMadoBundle.entry.request.extension,,,,
MadoFhirBundle.entry.request.modifierExtension,EuMadoBundle.entry.request.modifierExtension,,,,
MadoFhirBundle.entry.request.method,EuMadoBundle.entry.request.method,,,,
MadoFhirBundle.entry.request.url,EuMadoBundle.entry.request.url,,,,
MadoFhirBundle.entry.request.ifNoneMatch,EuMadoBundle.entry.request.ifNoneMatch,,,,
MadoFhirBundle.entry.request.ifModifiedSince,EuMadoBundle.entry.request.ifModifiedSince,,,,
MadoFhirBundle.entry.request.ifMatch,EuMadoBundle.entry.request.ifMatch,,,,
MadoFhirBundle.entry.request.ifNoneExist,EuMadoBundle.entry.request.ifNoneExist,,,,
MadoFhirBundle.entry.response,EuMadoBundle.entry.response,,,,
MadoFhirBundle.entry.response.id,EuMadoBundle.entry.response.id,,,,
MadoFhirBundle.entry.response.extension,EuMadoBundle.entry.response.extension,,,,
MadoFhirBundle.entry.response.modifierExtension,EuMadoBundle.entry.response.modifierExtension,,,,
MadoFhirBundle.entry.response.status,EuMadoBundle.entry.response.status,,,,
MadoFhirBundle.entry.response.location,EuMadoBundle.entry.response.location,,,,
MadoFhirBundle.entry.response.etag,EuMadoBundle.entry.response.etag,,,,
MadoFhirBundle.entry.response.lastModified,EuMadoBundle.entry.response.lastModified,,,,
MadoFhirBundle.entry.response.outcome,EuMadoBundle.entry.response.outcome,,,,
MadoFhirBundle.entry[composition],EuMadoBundle.entry[composition],MS,,SHALL:populate,Required by MADO
MadoFhirBundle.entry[imaging-study],EuMadoBundle.entry[imaging-study],MS,,SHALL:populate,Required by MADO
MadoFhirBundle.entry[patient],EuMadoBundle.entry[patient],MS,,SHALL:populate,Required by MADO
MadoFhirBundle.entry[wado-endpoint],EuMadoBundle.entry[wado-endpoint],MS,,SHALL:populate-if-known,Required by MADO
MadoFhirBundle.entry[web-endpoint],EuMadoBundle.entry[web-endpoint],MS,,SHALL:populate-if-known,Required by MADO
MadoFhirBundle.entry[creator],EuMadoBundle.entry[creator],MS,,SHALL:populate,Required by MADO
MadoFhirBundle.entry[creator-organization],EuMadoBundle.entry[creator-organization],MS,,SHALL:populate,Required by MADO
