IHE-MADO,EU-MADO,MS,Consumer,Producer,Documentation,EHDS,EHDS-Consumer,EHDS-Producer
MadoFhirBundle.id,EuMadoBundle.id,,,,,,,
MadoFhirBundle.meta,EuMadoBundle.meta,,,,,,,
MadoFhirBundle.implicitRules,EuMadoBundle.implicitRules,,,,,,,
MadoFhirBundle.language,EuMadoBundle.language,,,,,,,
MadoFhirBundle.identifier,EuMadoBundle.identifier,MS,,SHALL:populate,Required by MADO,,,
MadoFhirBundle.type,EuMadoBundle.type,,,,,,,
MadoFhirBundle.timestamp,EuMadoBundle.timestamp,MS,,SHALL:populate,Required by MADO,,,
MadoFhirBundle.total,EuMadoBundle.total,,,,,,,
MadoFhirBundle.link,EuMadoBundle.link,,,,,,,
MadoFhirBundle.extension,EuMadoBundle.extension,,,,,,,
MadoFhirBundle.modifierExtension,EuMadoBundle.modifierExtension,,,,,,,
MadoFhirBundle.relation,EuMadoBundle.relation,,,,,,,
MadoFhirBundle.url,EuMadoBundle.url,,,,,,,
MadoFhirBundle.entry,EuMadoBundle.entry,,,,,,,
MadoFhirBundle.fullUrl,EuMadoBundle.fullUrl,,,,,,,
MadoFhirBundle.resource,EuMadoBundle.resource,,,,,,,
MadoFhirBundle.search,EuMadoBundle.search,,,,,,,
MadoFhirBundle.mode,EuMadoBundle.mode,,,,,,,
MadoFhirBundle.score,EuMadoBundle.score,,,,,,,
MadoFhirBundle.request,EuMadoBundle.request,,,,,,,
MadoFhirBundle.method,EuMadoBundle.method,,,,,,,
MadoFhirBundle.ifNoneMatch,EuMadoBundle.ifNoneMatch,,,,,,,
MadoFhirBundle.ifModifiedSince,EuMadoBundle.ifModifiedSince,,,,,,,
MadoFhirBundle.ifMatch,EuMadoBundle.ifMatch,,,,,,,
MadoFhirBundle.ifNoneExist,EuMadoBundle.ifNoneExist,,,,,,,
MadoFhirBundle.response,EuMadoBundle.response,,,,,,,
MadoFhirBundle.status,EuMadoBundle.status,,,,,,,
MadoFhirBundle.location,EuMadoBundle.location,,,,,,,
MadoFhirBundle.etag,EuMadoBundle.etag,,,,,,,
MadoFhirBundle.lastModified,EuMadoBundle.lastModified,,,,,,,
MadoFhirBundle.outcome,EuMadoBundle.outcome,,,,,,,
MadoFhirBundle.entry[composition],EuMadoBundle.entry[composition],MS,,SHALL:populate,Required by MADO,,,
MadoFhirBundle.entry[imaging-study],EuMadoBundle.entry[imaging-study],MS,,SHALL:populate,Required by MADO,,,
MadoFhirBundle.entry[patient],EuMadoBundle.entry[patient],MS,,SHALL:populate,Required by MADO,,,
MadoFhirBundle.entry[wado-endpoint],EuMadoBundle.entry[wado-endpoint],MS,,SHALL:populate-if-known,Required by MADO,,,
MadoFhirBundle.entry[web-endpoint],EuMadoBundle.entry[web-endpoint],MS,,SHALL:populate-if-known,Required by MADO,,,
MadoFhirBundle.entry[creator],EuMadoBundle.entry[creator],MS,,SHALL:populate,Required by MADO,,,
MadoFhirBundle.entry[creator-organization],EuMadoBundle.entry[creator-organization],MS,,SHALL:populate,Required by MADO,,,
MadoFhirBundle.entry[requested-procedure],EuMadoBundle.entry[requested-procedure],MS,,SHALL:able-to-populate,Required by MADO.,,,
MadoFhirBundle.signature,EuMadoBundle.signature,,,,,,,
MadoComposition.id,EuMadoComposition.id,,,,,,,
MadoComposition.meta,EuMadoComposition.meta,,,,,,,
MadoComposition.implicitRules,EuMadoComposition.implicitRules,,,,,,,
MadoComposition.language,EuMadoComposition.language,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.language,,,
MadoComposition.text,EuMadoComposition.text,MS,,SHALL:populate,From MADO,,,
MadoComposition.extension,EuMadoComposition.extension,,,,,,,
MadoComposition.status,EuMadoComposition.status,,,,,,,
MadoComposition.div,EuMadoComposition.div,,,,,,,
MadoComposition.contained,EuMadoComposition.contained,,,,,,,
MadoComposition.modifierExtension,EuMadoComposition.modifierExtension,,,,,,,
MadoComposition.identifier,EuMadoComposition.identifier,MS,,SHALL:populate,From MADO,,,
MadoComposition.status,EuMadoComposition.status,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.status,,,
MadoComposition.type,EuMadoComposition.type,MS,,SHALL:able-to-populate,From MADO,,,
MadoComposition.category,EuMadoComposition.category,MS,,SHOULD:able-to-populate,From MADO,,,
